Date,Close,High,Low,Open,Volume
01-07-2025,298.8500061,306.6000061,299.25,306.6000061,75
02-07-2025,297.9500122,295,286.5,295,9
03-07-2025,292.6499939,292.6499939,292.6499939,292.6499939,0
04-07-2025,292.6499939,292.6499939,292.6499939,292.6499939,0
07-07-2025,280.0499878,285.7000122,285.7000122,285.7000122,34
08-07-2025,287.3999939,287.3999939,287.3999939,287.3999939,0
09-07-2025,285.8500061,285.8500061,285.8500061,285.8500061,0
10-07-2025,289.8999939,289.8999939,289.8999939,289.8999939,0
11-07-2025,288.6000061,288.6000061,288.6000061,288.6000061,0
14-07-2025,305.7000122,305.7000122,305.7000122,305.7000122,12
15-07-2025,301.6000061,301.6000061,301.6000061,301.6000061,95
16-07-2025,314.5499878,312.5499878,312.5499878,312.5499878,12
17-07-2025,312.5,312.5,312.5,312.5,0
18-07-2025,308.8999939,308.8999939,308.8999939,308.8999939,0
21-07-2025,297.25,297.25,297.25,297.25,13129
22-07-2025,296.3500061,298.5499878,285.75,291.9500122,11505
23-07-2025,301.3500061,302.5,292.8500061,297.8999939,10603
24-07-2025,304.8500061,307.2000122,298.4500122,299.25,10893
25-07-2025,297.5499878,307.4500122,297.25,305,10081
28-07-2025,301.7000122,306,298.7999878,300,12052
29-07-2025,296.5,301.75,288.9500122,301.25,15267
30-07-2025,293.3999939,301.7999878,290.5499878,297.6499939,12568
31-07-2025,295.7999878,303.6000061,294.0499878,297,12201
01-08-2025,284.2000122,297.0499878,283.6499939,294.1000061,15428
04-08-2025,288.5499878,294.0499878,286.0499878,287.1000061,13105
05-08-2025,298.7000122,299.6000061,288.0499878,289.25,16402
06-08-2025,293.3999939,300.1499939,292.0499878,297.5499878,14569
07-08-2025,297.7999878,299.3500061,292.5,297.2000122,18683
08-08-2025,309.3500061,309.9500122,297.7999878,297.7999878,27797
11-08-2025,320.7000122,324.4500122,305.7999878,307,22876
12-08-2025,315.1499939,327,310.6499939,320.8999939,11677
13-08-2025,319.6000061,324.3999939,316,317.3500061,10269
14-08-2025,326.5,328.5,315.5,319.4500122,9471
15-08-2025,341.6499939,344.2999878,326.1499939,329.1000061,7499
18-08-2025,343.6000061,346.8999939,333.3999939,341.6499939,5656
19-08-2025,356.2000122,359.1000061,345.3999939,345.4500122,6196
20-08-2025,360.25,364.7000122,352.75,358.6000061,6369
21-08-2025,375.25,378,358.9500122,360,257
22-08-2025,390.6499939,391.3500061,378,380.3500061,87
25-08-2025,389.9500122,398.7999878,388.5,388.5,30
26-08-2025,384.0499878,388.3999939,376.5,388.3999939,55
27-08-2025,393.7999878,397.1000061,379,379,79
28-08-2025,387.75,400.7999878,387.2999878,394.6499939,81
29-08-2025,396.8500061,398.0499878,384,384,0
02-09-2025,382.2000122,386.1000061,378.5,380,12
03-09-2025,385.25,389.2999878,383.2000122,383.2000122,6
04-09-2025,385.75,386.8999939,384,384,11
